Vehiculo|Grupo|Calificacion|kms|Horas conduccion|Excesos 10 kph|Maxima vel 10 kph|Duracion seg 10 kph|Excesos 20 kph|Maxima vel 20 kph|Duracion seg 20 kph|Excesos 30 kph|Maxima vel 30 kph|Duracion seg 30 kph|Excesos 40 kph|Maxima vel 40 kph|Duracion seg 40 kph|Excesos 50 kph|Maxima vel 50 kph|Duracion seg 50 kph|Excesos 60 kph|Maxima vel 60 kph|Duracion seg 60 kph|Excesos 80 kph|Maxima vel 80 kph|Duracion seg 80 kph|Aceleraciones|Frenadas|
JSL356||100|104.07|18.63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GJN99I||100|93.28|5.45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
KTQ543||100|43.33|2.37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
BVJ95G||100|38.89|3.75|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GJV36I||100|31.12|2.26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
KSP714|CERREJON SOLDADURA|100|25.18|7.93|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LUX994||100|11.53|222.97|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
SPL861||100|9.02|17.69|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LUL084|ECOPETROL O&M RUBIALES|100|5.32|1.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
KSP721|CERREJON SOLDADURA|100|0.31|0.65|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY414||100|0.00|0.15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WNL992||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WNL990||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WNL996||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
UFX751||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WNL994||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LUL083|ECOPETROL O&M RUBIALES|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
EQZ817|ECOPETROL VRC-RIO CASABE|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY428|DRUMMOND O&M Soldadura|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY421||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY427||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY418||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TSX673||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
GHP401|ECOPETROL VRC CIRA|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
WOY420||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
KOX567||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TIM-005||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TIM-003||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
TIM-013||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
NQO493||100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
KOX549|ECOPETROL VRC-RIO CASABE|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LUL081|ECOPETROL O&M RUBIALES|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
LHT905|ECOPETROL VRC-MARES CENTRO|98|3776.36|124.68|0|0|0|0|0|0|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|73|
LHR952|ECOPETROL VRC-MARES CENTRO|98|3453.77|115.81|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|94|14|0|34|
LHT825||98|2748.64|194.11|0|0|0|0|0|0|1|39|10|0|0|0|0|0|0|0|0|0|0|0|0|0|4|
LHT805||98|2399.38|155.16|0|0|0|0|0|0|1|34|11|0|0|0|0|0|0|0|0|0|0|0|0|0|11|
LZY711|ENEL2024|98|1856.32|77.60|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|96|10|1|47|
LHT949||98|1813.24|105.67|0|0|0|0|0|0|1|36|11|0|0|0|0|0|0|0|0|0|0|0|0|0|14|
LZW841|ENEL2024|98|1714.87|65.43|0|0|0|0|0|0|0|0|0|1|69|29|0|0|0|0|0|0|0|0|0|0|25|
WOO039|ENEL2024|98|1643.12|150.54|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|84|10|0|5|
KOX892||98|1616.19|80.67|0|0|0|0|0|0|1|49|172|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
POS648|ENEL2024|98|1576.35|65.47|0|0|0|0|0|0|1|43|31|0|0|0|0|0|0|0|0|0|0|0|0|0|19|
LTP984|ENEL2024|98|1330.68|69.04|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|84|12|2|3|
